ID,BirdID,Year,Date,SunriseTimeDaylightSavings,TimeCapt,TimeOfDay,Sex,SexMF,Stage,Ageminyears,Agecat,PCV,PCVcntr,PCVcntr2,PCV_percent,PCV_percent_cntr,PCV_percent_cntr2,Hb,Hbcntr,Hbcntr2,Hbdiv10,Hbdiv10cntr,Hbdiv10cntr2,TPP,TPPcntr,TPPcntr2,HL_original,Log10HL_original,Log10HL_original_cntr,Log10HL_original_cntr2,HLAllOlyas,Log10HLAllOlyas,Log10HLAllOlyas_cntr,Log10HLAllOlyas_cntr2,SMI,SMIcntr,SMIcntr2,Muscle,Musclecntr,Musclecntr2,Fat,Fatcntr,Fatcntr2,PC1,PC1sq,PC2,PC2sq,PC3,PC3sq,NumberIndependent
17,026-29455,3(2008-09),9-Mar-09,6:37,7:26,49,1,M,I,4,A1Y,0.53,0.049571,0.002457,53,5,25,208,32,1024,20.8,3.2,10.24,4.9,-0.0479,0.00229,8.9,0.94939,1.169952,1.368787,8.9,0.94939,1.154762,1.333475,9.58,-0.5278,0.2785,1.5,-0.25,0.0607,1.5,-0.44,0.1898,2.17868,4.746648,1.863115,3.471197,1.993263,3.973097,5
19,026-29456,3(2008-09),6-Apr-09,5:43,8:18,155,1,M,N,4,A1Y,0.49,0.009571,0.000092,49,1,1,170,-6,36,17,-0.6,0.36,4.4,-0.5479,0.300147,0.2,-0.69897,-0.478408,0.228875,0.369863,-0.431959,-0.226587,0.051342,10.23,0.1183,0.014,1,-0.75,0.5572,2,0.06,0.0041,-0.160592,0.02579,0.511935,0.262077,-0.029106,0.000847,4
22,026-33190,4(2009-10),25-Dec-09,5:00,6:40,100,1,M,pre,5,A1Y,0.45,-0.030429,0.000926,45,-3,9,185,9,81,18.5,0.9,0.81,5,0.0521,0.002719,1.222222,0.08715,0.307712,0.094687,1.222222,0.08715,0.292522,0.085569,10.48,0.3706,0.1373,1.5,-0.25,0.0607,4,2.06,4.2613,-0.965035,0.931292,0.373124,0.139222,1.522411,2.317734,3
23,026-33360,4(2009-10),4-Mar-10,5:36,10:48,312,0,F,N,5,A1Y,0.47,-0.010429,0.000109,47,-1,1,165,-11,121,16.5,-1.1,1.21,4.5,-0.4479,0.200576,0.351351,-0.454258,-0.233697,0.054614,0.351351,-0.454258,-0.248886,0.061944,9.79,-0.3221,0.1037,1,-0.75,0.5572,3.5,1.56,2.447,-0.846427,0.716439,0.858345,0.736755,0.473658,0.224352,0
28,026-33750,3(2008-09),28-Feb-09,6:34,9:18,164,1,M,L,3,A1Y,0.475,-0.005429,0.000029,47.5,-0.5,0.25,164,-12,144,16.4,-1.2,1.44,5,0.0521,0.002719,0.546875,-0.262112,-0.04155,0.001726,0.546875,-0.262112,-0.05674,0.003219,9.55,-0.5563,0.3095,2,0.25,0.0643,1,-0.94,0.8756,0.043794,0.001918,0.26274,0.069032,-1.135709,1.289834,1
30,026-33750,4(2009-10),6-Apr-10,5:43,6:10,27,1,M,L,4,A1Y,0.465,-0.015429,0.000238,46.5,-1.5,2.25,160,-16,256,16,-1.6,2.56,4.8,-0.1479,0.021862,0.754386,-0.122406,0.098155,0.009634,0.754386,-0.122406,0.082966,0.006883,9.17,-0.9367,0.8774,2,0.25,0.0643,0,-1.94,3.747,0.272961,0.074508,0.958359,0.918452,-1.941859,3.770815,1
33,026-33764,3(2008-09),31-Mar-09,5:42,5:49,7,0,F,L,3,A1Y,0.45,-0.030429,0.000926,45,-3,9,153,-23,529,15.3,-2.3,5.29,5.2,0.2521,0.063576,0.137931,-0.860338,-0.639776,0.409314,0.052632,-1.278754,-1.073382,1.152148,11.64,1.5293,2.3387,1.5,-0.25,0.0607,1,-0.94,0.8756,-2.066678,4.271159,-2.135468,4.560224,-1.832213,3.357004,5
36,026-33764,4(2009-10),29-Apr-10,5:48,10:43,295,0,F,post,4,A1Y,0.48,-0.000429,0,48,0,0,180,4,16,18,0.4,0.16,4.8,-0.1479,0.021862,0.204819,-0.688629,-0.468068,0.219087,0.204819,-0.688629,-0.483257,0.233537,10.64,0.5341,0.2853,2,0.25,0.0643,2,0.06,0.0041,0.03401,0.001157,-1.446212,2.091529,-0.363338,0.132014,0
38,026-33905,4(2009-10),1-Mar-10,5:35,7:06,91,0,F,N,5,A1Y,0.48,-0.000429,0,48,0,0,177,1,1,17.7,0.1,0.01,5,0.0521,0.002719,0.333333,-0.477121,-0.25656,0.065823,0.333333,-0.477121,-0.271749,0.073848,10.13,0.0234,0.0005,2,0.25,0.0643,3,1.06,1.1327,-0.168135,0.028269,-0.793164,0.629109,0.312899,0.097906,2
39,026-33911,3(2008-09),19-Feb-09,6:31,10:17,226,1,M,L,3,A1Y,0.5,0.019571,0.000383,50,2,4,180,4,16,18,0.4,0.16,4.8,-0.1479,0.021862,1.214286,0.084321,0.304883,0.092953,1.214286,0.084321,0.289693,0.083922,9.85,-0.2632,0.0693,2,0.25,0.0643,2.5,0.56,0.3184,0.62482,0.3904,0.263379,0.069368,0.595353,0.354445,4
41,026-33920,3(2008-09),15-Apr-09,5:45,6:45,60,0,F,L,3,A1Y,0.42,-0.060429,0.003652,42,-6,36,153,-23,529,15.3,-2.3,5.29,6.4,1.4521,2.108719,1.021277,0.009143,0.229705,0.052764,1.021277,0.009143,0.214515,0.046017,11.78,1.6742,2.8031,1.5,-0.25,0.0607,2,0.06,0.0041,-3.486566,12.156139,-0.37664,0.141857,-0.072479,0.005253,1
42,026-33934,3(2008-09),24-Feb-09,6:33,11:06,273,0,F,I,3,A1Y,0.46,-0.020429,0.000417,46,-2,4,186,10,100,18.6,1,1,5,0.0521,0.002719,0.732143,-0.135404,0.085157,0.007252,0.732143,-0.135404,0.069968,0.004895,11.08,0.9706,0.942,2,0.25,0.0643,3,1.06,1.1327,-0.614653,0.377798,-0.952719,0.907674,0.710965,0.505471,4
