ID,BirdID,Year,Date,SunriseTimeDaylightSavings,TimeCapt,TimeOfDay,Sex,SexMF,Stage,Agecat,Ageminyears,PCV,PCVcntr,PCVcntr2,PCV_percent,PCV_percent_cntr,PCV_percent_cntr2,Hb,Hbcntr,Hbcntr2,Hbdiv10,Hbdiv10cntr,Hbdiv10cntr2,SMI,SMIcntr,SMIcntr2,Muscle,Musclecntr,Musclecntr2,Fat,Fatcntr,Fatcntr2,PC1,PC1sq,PC2,PC2sq,NumberFledged
400,026-60039,3(2008-09),16-Jan-09,6:14,7:26,72,0,F,B,A1Y,2,0.48,0.000723,0.000001,48,0.1,0.01,181,8.33,69.411,18.1,0.8,0.64,9.99,-0.0682,0.0046,2.5,0.39,0.1557,1,-1.11,1.242,-0.604918,0.365926,0.117642,0.01384,1
401,026-60039,4(2009-10),28-Apr-10,5:48,7:11,83,0,F,I,A1Y,3,0.49,0.010723,0.000115,49,1.1,1.21,178,5.33,28.423,17.8,0.5,0.25,9.72,-0.3362,0.113,2,-0.11,0.0111,1.5,-0.61,0.3776,-0.799996,0.639994,-0.274353,0.07527,4
404,026-60046,3(2008-09),15-Apr-09,5:45,6:09,24,1,M,N,1Y,1,0.48,0.000723,0.000001,48,0.1,0.01,163,-9.67,93.4833,16.3,-1,1,9.36,-0.7006,0.4909,1.5,-0.61,0.3665,1,-1.11,1.242,-0.42865,0.183741,-1.6503,2.723489,1
405,026-60049,2(2007-08),15-Apr-08,5:45,7:26,101,0,F,N,A1Y,2,0.54,0.060723,0.003687,54,6.1,37.21,187,14.33,205.3869,18.7,1.4,1.96,8.85,-1.2097,1.4635,2.5,0.39,0.1557,1.5,-0.61,0.3776,-2.370595,5.619723,0.628636,0.395184,5
406,026-60050,2(2007-08),15-Apr-08,5:45,7:26,101,1,M,N,A1Y,2,0.47,-0.009277,0.000086,47,-0.9,0.81,165,-7.67,58.8086,16.5,-0.8,0.64,10.19,0.1273,0.0162,3,0.89,0.8003,0,-2.11,4.4709,0.242444,0.058779,-0.180338,0.032522,5
411,026-60055,4(2009-10),19-Dec-09,4:57,6:55,118,0,F,pre,A1Y,3,0.46,-0.019277,0.000372,46,-1.9,3.61,177,4.33,18.7604,17.7,0.4,0.16,9.12,-0.9399,0.8834,1.5,-0.61,0.3665,2,-0.11,0.0131,-0.478816,0.229265,-1.256444,1.57865,3
418,026-65229,3(2008-09),21-Apr-09,5:46,8:18,152,0,F,N,1Y,1,0.54,0.060723,0.003687,54,6.1,37.21,198,25.33,641.676,19.8,2.5,6.25,10.07,0.011,0.0001,1,-1.11,1.222,2,-0.11,0.0131,-2.641872,6.979487,0.125133,0.015658,2
419,026-65242,3(2008-09),21-Apr-09,5:46,5:43,-3,1,M,N,1Y,1,0.57,0.090723,0.008231,57,9.1,82.81,211,38.33,1469.2905,21.1,3.8,14.44,9.5,-0.5635,0.3176,2,-0.11,0.0111,1,-1.11,1.242,-4.004729,16.037856,1.130618,1.278297,5
420,026-65243,3(2008-09),16-Apr-09,5:45,8:32,167,1,M,N,1Y,1,0.47,-0.009277,0.000086,47,-0.9,0.81,183,10.33,106.7363,18.3,1,1,9.11,-0.9496,0.9017,1.5,-0.61,0.3665,0,-2.11,4.4709,-1.520641,2.31235,-1.838495,3.380063,2
421,026-65320,4(2009-10),27-Mar-10,5:41,8:26,165,1,M,L,1Y,1,0.48,0.000723,0.000001,48,0.1,0.01,172,-0.67,0.4471,17.2,-0.1,0.01,9.61,-0.449,0.2016,2,-0.11,0.0111,0,-2.11,4.4709,-0.838968,0.703867,-1.215953,1.478542,4
423,026-67701,4(2009-10),13-Mar-10,5:38,6:00,22,0,F,N,A1Y,2,0.48,0.000723,0.000001,48,0.1,0.01,155,-17.67,312.1821,15.5,-1.8,3.24,9.62,-0.4354,0.1896,1.5,-0.61,0.3665,3,0.89,0.7842,0.627345,0.393562,-0.873051,0.762218,6
425,026-67727,4(2009-10),24-Mar-10,5:40,6:57,77,0,F,L,A1Y,2,0.48,0.000723,0.000001,48,0.1,0.01,171,-1.67,2.7845,17.1,-0.2,0.04,10.74,0.6814,0.4644,2,-0.11,0.0111,4,1.89,3.5553,0.887847,0.788272,0.980232,0.960854,2
426,026-67752,4(2009-10),24-Mar-10,5:40,6:10,30,1,M,L,A1Y,2,0.52,0.040723,0.001658,52,4.1,16.81,172,-0.67,0.4471,17.2,-0.1,0.01,9.2,-0.8555,0.7318,1,-1.11,1.222,3,0.89,0.7842,-1.225012,1.500656,-0.722346,0.521784,2
427,026-67772,4(2009-10),13-Mar-10,5:38,6:00,22,1,M,N,A1Y,2,0.52,0.040723,0.001658,52,4.1,16.81,168,-4.67,21.7965,16.8,-0.5,0.25,10.14,0.0793,0.0063,2,-0.11,0.0111,2.5,0.39,0.1486,-0.448171,0.200857,0.466302,0.217437,6
429,026-72402,4(2009-10),6-Feb-10,5:26,7:08,102,0,F,L,1Y,1,0.44,-0.039277,0.001543,44,-3.9,15.21,158,-14.67,215.17,15.8,-1.5,2.25,11.69,1.6292,2.6542,2,-0.11,0.0111,2,-0.11,0.0131,2.055042,4.223198,-0.178732,0.031945,6
