ID,BirdID,Year,Date,SunriseTimeDaylightSavings,TimeCapt,TimeOfDay,Sex,Stage,Agecat,Ageminyears,PCV,PCVcntr,PCVcntr2,PCV_percent,PCV_percent_cntr,PCV_percent_cntr2,Hb,Hbcntr,Hbcntr2,Hbdiv10,Hbdiv10cntr,Hbdiv10cntr2,SMI,SMIcntr,SMIcntr2,Muscle,Musclecntr,Musclecntr2,Fat,Fatcntr,Fatcntr2,PC1,PC1sq,PC2,PC2sq,NumberIndependent
99,026-33855,3(2008-09),16-May-09,5:53,7:37,104,1,N,A1Y,3,0.480,0.000723,0.000001,48.0,0.10,0.01,176,3.33,11.0977,17.6,0.30,0.0900,11.81,1.7474,3.0536,1.0,-1.11,1.2220,1.0,-1.11,1.2420,-0.053414,0.002853,-0.683124,0.466659,0
102,026-33901,2(2007-08),09-Jan-08,6:09,7:48,99,1,L,A1Y,2,0.480,0.000723,0.000001,48.0,0.10,0.01,173,0.33,0.1098,17.3,0.00,0.0000,9.41,-0.6461,0.4174,1.5,-0.61,0.3665,1.0,-1.11,1.2420,-0.841666,0.708401,-1.389373,1.930358,2
106,026-33905,4(2009-10),01-Mar-10,5:35,7:06,91,0,N,A1Y,5,0.480,0.000723,0.000001,48.0,0.10,0.01,177,4.33,18.7604,17.7,0.40,0.1600,10.13,0.0734,0.0054,2.0,-0.11,0.0111,3.0,0.89,0.7842,0.057345,0.003288,0.408926,0.167220,2
108,026-33907,1(2006-07),06-Dec-06,5:53,17:20,687,0,pre,1Y,1,0.420,-0.059277,0.003514,42.0,-5.90,34.81,148,-24.67,608.5435,14.8,-2.50,6.2500,8.69,-1.3668,1.8682,1.0,-1.11,1.2220,1.5,-0.61,0.3776,1.043687,1.089282,-3.347184,11.203642,0
109,026-33909,1(2006-07),07-Dec-06,5:53,17:30,697,1,pre,1Y,1,0.530,0.050723,0.002573,53.0,5.10,26.01,193,20.33,413.3628,19.3,2.00,4.0000,9.10,-0.9585,0.9188,2.0,-0.11,0.0111,2.0,-0.11,0.0131,-2.346993,5.508376,0.461099,0.212613,0
110,026-33910,1(2006-07),29-Nov-06,4:51,16:45,714,0,pre,1Y,1,0.470,-0.009277,0.000086,47.0,-0.90,0.81,172,-0.67,0.4471,17.2,-0.10,0.0100,9.60,-0.4625,0.2139,2.5,0.39,0.1557,2.0,-0.11,0.0131,0.092546,0.008565,0.015769,0.000249,0
111,026-33911,3(2008-09),19-Feb-09,6:31,10:17,226,1,L,A1Y,3,0.500,0.020723,0.000429,50.0,2.10,4.41,180,7.33,53.7483,18.0,0.70,0.4900,9.85,-0.2132,0.0454,2.0,-0.11,0.0111,2.5,0.39,0.1486,-0.727834,0.529743,0.369118,0.136248,4
113,026-33915,1(2006-07),20-Nov-06,4:52,8:40,228,1,pre,1Y,1,0.550,0.070723,0.005002,55.0,7.10,50.41,177,4.33,18.7604,17.7,0.40,0.1600,8.29,-1.7731,3.1438,1.5,-0.61,0.3665,2.0,-0.11,0.0131,-2.555666,6.531426,-0.590364,0.348530,0
114,026-33915,2(2007-08),02-Feb-08,6:23,9:24,181,1,I,A1Y,2,0.480,0.000723,0.000001,48.0,0.10,0.01,168,-4.67,21.7965,16.8,-0.50,0.2500,10.26,0.1983,0.0393,2.0,-0.11,0.0111,2.0,-0.11,0.0131,0.214746,0.046116,-0.160321,0.025703,1
117,026-33917,2(2007-08),17-Feb-08,6:30,6:51,21,1,B,A1Y,2,0.495,0.015723,0.000247,49.5,1.60,2.56,171,-1.67,2.7845,17.1,-0.20,0.0400,9.22,-0.8386,0.7032,2.0,-0.11,0.0111,0.0,-2.11,4.4709,-1.254724,1.574331,-1.249496,1.561241,0
120,026-33920,2(2007-08),02-Feb-08,6:23,9:24,181,0,I,A1Y,2,0.390,-0.089277,0.007970,39.0,-8.90,79.21,136,-36.67,1344.5917,13.6,-3.70,13.6900,11.18,1.1193,1.2528,3.0,0.89,0.8003,3.5,1.39,1.9197,4.496822,20.221410,0.133132,0.017724,1
