PCV_percent_cntr,Hbdiv10cntr,SMIcntr,Musclecntr,Fatcntr
-1.90,-1.60,-0.8152,-0.11,-1.11
-2.90,1.50,0.3275,-0.11,0.89
-0.90,1.00,-0.4778,-0.11,0.39
4.10,0.20,-0.9952,0.89,-1.61
4.10,-0.30,-0.4360,0.39,0.39
-2.90,-2.50,1.2923,0.89,0.89
0.10,0.50,-0.7607,0.89,-0.11
1.60,0.30,-0.0785,0.89,-0.11
2.10,0.00,-0.2306,0.89,0.89
2.10,0.90,0.5111,-0.11,1.89
1.10,1.10,-0.0976,0.89,-1.61
2.10,1.70,0.5111,-0.11,-1.61
-0.40,0.80,-0.4760,-1.11,-1.11
4.10,1.80,0.0252,0.39,-0.11
2.10,1.20,-0.3021,-0.11,0.89
1.60,0.80,0.3275,0.89,1.89
2.10,2.10,0.0011,0.39,-1.11
1.60,0.80,0.8146,-0.11,-0.11
-5.40,-0.70,2.4808,-0.11,-0.11
4.10,0.80,-0.0988,0.89,-0.11
-3.90,-1.10,-0.0284,-0.61,-2.11
4.60,1.60,1.0529,0.89,-0.61
0.10,-2.40,-0.2192,-0.61,-0.11
-3.90,-1.40,-0.9120,0.89,0.89
1.10,-1.00,1.0195,-0.11,0.39
-2.90,0.70,-1.0497,-0.11,-0.11
-1.90,0.20,-0.0681,-0.11,1.89
1.10,1.30,-0.9853,-1.11,-0.11
-6.90,-0.50,-1.2707,-0.61,-2.11
2.60,1.70,-0.5346,-0.11,-0.61
2.10,-0.10,-1.1966,-0.11,-1.11
-1.90,-1.20,0.6643,-0.11,-0.11
1.10,-1.20,-1.3325,-0.11,-2.11
1.10,-1.80,-0.9399,-1.11,-1.11
-3.90,-1.40,-1.5246,-1.11,1.39
2.10,0.40,-0.0785,-1.11,0.89
1.10,1.10,-1.5757,-0.11,1.39
6.10,2.10,-0.0182,-0.11,1.39
-2.90,-1.70,-1.1498,-0.11,-1.11
-0.40,-1.00,0.2286,-0.11,-1.11
-3.90,0.10,-0.4068,0.39,-1.11
0.10,0.60,-0.5480,-0.11,-2.11
-1.90,0.00,-0.6894,-0.11,-1.11
-2.90,-1.50,-0.6894,-1.11,-1.61
-0.90,0.00,-0.5776,-0.11,0.89
0.10,0.80,-0.0682,0.39,-1.11
1.10,0.50,-0.3362,-0.11,-0.61
0.10,-1.00,-0.7006,-0.61,-1.11
6.10,1.40,-1.2097,0.39,-0.61
-0.90,-0.80,0.1273,0.89,-2.11
3.10,-0.50,-0.2902,-0.11,-1.11
2.10,-0.60,0.3519,-0.61,-2.11
-1.90,0.40,-0.9399,-0.61,-0.11
3.60,2.10,-1.1300,-0.61,-1.11
0.10,-0.40,0.2065,-0.11,-0.11
3.10,1.30,-0.1378,-0.11,-1.11
8.10,2.90,0.6127,-0.11,-0.11
-7.90,-2.20,1.3189,-0.61,0.39
6.10,2.50,0.0110,-1.11,-0.11
9.10,3.80,-0.5635,-0.11,-1.11
-0.90,1.00,-0.9496,-0.61,-2.11
0.10,-0.10,-0.4490,-0.11,-2.11
0.10,-1.80,-0.4354,-0.61,0.89
2.10,2.40,-0.6646,-0.11,0.89
0.10,-0.20,0.6814,-0.11,1.89
4.10,-0.10,-0.8555,-1.11,0.89
4.10,-0.50,0.0793,-0.11,0.39
-1.90,0.10,-0.9952,-0.11,-2.11
-3.90,-1.50,1.6292,-0.11,-0.11
0.10,-1.10,1.0192,-0.61,1.39
